customer_id,first_name,last_name,email,phone,date_of_birth,address,income,account_status,created_date,quarantine_reason
181,Andrew,Wilson,,226-291-6798,1980-02-20,"9898 Birch Court, Greenville, SC 29601",30616.21,inactive,2021-02-24,email:non_empty
182,Emily,Lewis,emily.lewis182@example.org,785-733-3778,2024-02-30,"2374 Elm Street, Clinton, NY 13323",84902.24,active,2016-03-14,date_of_birth:valid_date
184,Betty,Hernandez,betty.hernandez184@mail.example.com,537-650-6484,1972-11-20,"2330 Elm Street, Franklin, TN 37064",,suspended,2018-08-11,income:non_empty
185,,Gonzalez,barbara.gonzalez185@example.net,498-952-9044,1981-04-11,"6261 Elm Street, Greenville, SC 29601",105383.29,suspended,2018-10-18,first_name:non_empty
187,Elizabeth,Thompson,elizabeth.thompson187@mail.example.com,586-275-8357,2024-02-30,"6666 River Drive, Salem, OR 97301",223781.1,suspended,2021-09-02,date_of_birth:valid_date
188,Lisa,Thompson,lisa.thompson188@example.com,311-987-5067,1987-11-12,N/A,147402.7,suspended,2025-11-13,address:length_10_200
189,Nancy,Sanchez,nancy.sanchez189@mail.example.com,308-210-2615,2034-07-25,"8599 River Drive, Arlington, VA 22201",173784.85,active,2022-06-13,date_of_birth:not_future
190,Sandra,Harris,sandra.harris190@example.org,553-225-8909,1951-05-14,"1506 Oak Avenue, Fairview, TX 75001",101845.67,active-ish,2022-04-17,account_status:allowed_value
191,Steven,Lopez,steven.lopez191@mail.example.com,,1965-02-10,"832 Oak Avenue, Springfield, IL 62701",208026.16,suspended,2016-11-26,phone:non_empty
192,David,Robinson,,728-378-3623,1966-09-14,"7670 Pine Road, Greenville, SC 29601",161509.19,active,2025-11-14,email:non_empty
194,Kenneth,Garcia,kenneth.garcia194@example.net,533-401-8496,1952-05-22,"8119 River Drive, Franklin, TN 37064",25849779.11,suspended,2021-10-04,income:le_10_000_000
196,Elizabeth,123456,elizabeth.taylor196@mail.example.com,628-810-3258,1981-07-14,"3143 Sunset Boulevard, Salem, OR 97301",175007.78,suspended,2017-09-06,last_name:alphabetic
198,Ashley,Wilson,ashley.wilson198@mail.example.com,555-CALL-NOW,1976-03-03,"9363 Maple Street, Georgetown, OH 45121",89923.06,inactive,2018-09-10,phone:valid_format
199,David,Harris,david.harris199@mail.example.com,779-960-9115,1980-09-04,"9483 Oak Avenue, Clinton, NY 13323",-7405.05,inactive,2023-01-25,income:non_negative
200,Paul,Moore,paul.moore200@example.org,635-304-5055,1964-01-15,"4405 Birch Court, Riverside, CA 92501",-48451.6,active,2018-04-26,income:non_negative
203,William,Davis,,928-529-5055,1993-11-13,"8119 Cedar Lane, Arlington, VA 22201",162069.22,suspended,2021-07-15,email:non_empty
204,John,Lee,john.lee204@example.com,612-727-5558,2027-10-23,"8096 Birch Court, Arlington, VA 22201",28524.29,suspended,2016-12-15,date_of_birth:not_future
206,Ashley,Sanchez,ashley.sanchez206@example.net,898-980-1793,2035-10-28,"7629 Maple Street, Riverside, CA 92501",225039.77,active,2022-08-01,date_of_birth:not_future
208,Karen,White,spaced name@example.com,639-871-2494,1990-02-01,"3596 Sunset Boulevard, Riverside, CA 92501",56132.36,active,2023-11-15,email:valid_format
209,James,Smith,not-an-email,323-632-3165,1975-02-08,"6376 Oak Avenue, Riverside, CA 92501",49878.73,inactive,2019-03-13,email:valid_format
211,,Ramirez,paul.ramirez211@example.org,288-302-3293,1993-02-19,"6391 Birch Court, Greenville, SC 29601",94674.78,active,2018-05-21,first_name:non_empty
212,Jennifer,Davis,jennifer.davis212@example.net,907-227-5942,1958-09-20,"8448 Pine Road, Greenville, SC 29601",90654.91,active,not-a-date,created_date:valid_date
213,Linda,Davis,,853-808-2163,1978-01-12,"5285 Cedar Lane, Greenville, SC 29601",210492.57,suspended,2021-06-18,email:non_empty
214,Barbara,Harris,barbara.harris214@mail.example.com,988-274-1273,1982-02-01,"4395 Pine Road, Springfield, IL 62701",,inactive,2023-05-21,income:non_empty
215,Andrew,Harris,andrew.harris215@mail.example.com,000-000-0000000,1950-11-18,"8908 Highland Avenue, Fairview, TX 75001",86823.16,inactive,2016-09-07,phone:valid_format
216,Elizabeth,Moore,elizabeth.moore216@example.net,600-800-2083,1964-12-14,"4009 Maple Street, Georgetown, OH 45121",46277.11,inactive,13/40/2026,created_date:valid_date
218,Thomas,Garcia,thomas.garcia218@example.net,329-967-5403,1991-02-25,"580 Birch Court, Greenville, SC 29601",42946936.78,active,2019-12-19,income:le_10_000_000
219,John,O'Br13N,john.thomas219@mail.example.com,723-568-1908,1976-10-06,"6124 Cedar Lane, Clinton, NY 13323",191945.74,suspended,2025-12-04,last_name:alphabetic
220,Joseph,White,joseph.white220@example.com,245-212-5006,1947-08-12,"6374 Cedar Lane, Fairview, TX 75001",,active,2023-12-24,income:non_empty
