customer_id,first_name,last_name,email,phone,date_of_birth,address,income,account_status,created_date
18,Anthony,Smith,anthony.smith18@mail.example.com,471-665-5673,1972-12-24,"9205 Sunset Boulevard, Fairview, TX 75001",68258.35,active,2015-10-24
19,Kenneth,Johnson,kenneth.johnson19@example.net,258-251-8811,1977-09-06,"1031 River Drive, Riverside, CA 92501",208484.62,active,2024-02-22
20,Jessica,Gonzalez,jessica.gonzalez20@example.com,783-452-1651,1984-02-14,"9662 Highland Avenue, Salem, OR 97301",95070.41,inactive,2018-11-23
21,Daniel,Davis,daniel.davis21@example.net,605-334-5915,1974-06-25,"1288 Maple Street, Madison, WI 53703",159685.76,suspended,2016-02-18
22,Susan,Taylor,susan.taylor22@example.net,335-557-2127,2001-04-12,"4769 Cedar Lane, Madison, WI 53703",204753.93,suspended,2019-10-26
23,Kimberly,Smith,kimberly.smith23@example.net,879-306-3200,1961-02-04,"9164 Cedar Lane, Clinton, NY 13323",87732.33,active,2026-06-07
24,Thomas,Taylor,thomas.taylor24@mail.example.com,457-252-2512,1985-07-27,"4633 Maple Street, Springfield, IL 62701",98713.99,active,2025-05-06
25,Paul,Moore,paul.moore25@mail.example.com,774-209-2832,1949-12-05,"9038 Maple Street, Franklin, TN 37064",151492.03,active,2021-03-02
26,Karen,Lopez,karen.lopez26@example.com,566-415-5088,1987-02-12,"9273 Willow Way, Arlington, VA 22201",186889.25,active,2017-03-14
27,Mary,Garcia,mary.garcia27@example.net,621-885-5065,1962-03-26,"1871 Willow Way, Springfield, IL 62701",210021.77,active,2018-08-12
28,Karen,Clark,karen.clark28@example.org,428-224-4164,1970-06-09,"1237 Elm Street, Franklin, TN 37064",163994.13,inactive,2025-09-11
29,Mary,Brown,mary.brown29@example.net,382-794-5349,1947-02-20,"7219 Birch Court, Franklin, TN 37064",120515.5,suspended,2016-07-19
30,Richard,Rodriguez,richard.rodriguez30@example.com,925-646-1027,1978-09-22,"3328 Birch Court, Greenville, SC 29601",42834.45,suspended,2020-10-11
31,Linda,White,linda.white31@example.net,719-516-7691,1965-07-23,"4944 River Drive, Fairview, TX 75001",68670.1,suspended,2021-11-24
32,Barbara,Martin,barbara.martin32@example.net,615-761-1006,1964-05-07,"7143 Highland Avenue, Arlington, VA 22201",166797.59,inactive,2022-08-22
33,Susan,Taylor,susan.taylor33@mail.example.com,953-373-2389,1963-09-22,"5591 Oak Avenue, Georgetown, OH 45121",170632.68,active,2018-03-01
34,Robert,Davis,robert.davis34@mail.example.com,825-986-2193,1974-07-21,"9531 Pine Road, Greenville, SC 29601",132807.96,active,2017-11-23
35,James,Lewis,james.lewis35@example.com,635-424-3881,1996-12-17,"7711 Maple Street, Salem, OR 97301",80830.04,active,2022-03-26
36,Sandra,Perez,sandra.perez36@example.net,973-653-9270,1972-09-15,"2707 Sunset Boulevard, Madison, WI 53703",82948.61,active,2025-05-25
37,Kimberly,Thomas,kimberly.thomas37@example.org,481-650-2269,1990-05-08,"4551 Birch Court, Franklin, TN 37064",217321.69,active,2017-03-08
38,Anthony,Thompson,anthony.thompson38@example.org,923-419-2052,1971-07-11,"8990 Sunset Boulevard, Greenville, SC 29601",41200.33,inactive,2021-10-23
39,Mary,Ramirez,mary.ramirez39@mail.example.com,688-206-6763,1964-07-28,"6965 River Drive, Salem, OR 97301",197572.05,active,2022-04-09
40,Margaret,Thomas,margaret.thomas40@example.com,598-544-7624,1991-03-27,"7757 Cedar Lane, Arlington, VA 22201",141234.21,inactive,2024-10-22
41,Mary,Williams,mary.williams41@mail.example.com,338-672-3977,1948-05-13,"5463 Pine Road, Madison, WI 53703",97291.31,inactive,2019-07-09
42,Jennifer,Thomas,jennifer.thomas42@example.com,967-752-1853,1967-04-21,"1224 Maple Street, Springfield, IL 62701",229317.69,active,2015-10-05
43,Jessica,Jones,jessica.jones43@mail.example.com,885-317-4571,1974-12-09,"6143 Cedar Lane, Arlington, VA 22201",156736.47,suspended,2026-02-25
44,David,Martinez,david.martinez44@example.com,792-226-6111,1981-11-13,"6598 Pine Road, Riverside, CA 92501",153524.75,suspended,2018-02-23
45,Karen,Ramirez,karen.ramirez45@example.com,779-242-6688,1979-07-22,"6171 Oak Avenue, Salem, OR 97301",165279.17,active,2021-08-04
46,Margaret,Lopez,margaret.lopez46@mail.example.com,924-356-8135,1956-12-17,"4525 Highland Avenue, Salem, OR 97301",192223.99,inactive,2021-12-19
47,Sarah,Hernandez,sarah.hernandez47@example.org,288-485-8385,1960-08-19,"6309 Birch Court, Springfield, IL 62701",132792.98,inactive,2017-08-07
48,Matthew,Sanchez,matthew.sanchez48@example.net,548-486-5526,1980-01-17,"3230 Oak Avenue, Georgetown, OH 45121",180655.83,inactive,2023-04-23
49,Steven,Lee,steven.lee49@mail.example.com,658-217-2524,1963-04-13,"4086 Elm Street, Arlington, VA 22201",106232.34,suspended,2023-06-14
50,Emily,Hernandez,emily.hernandez50@example.net,919-664-5438,1964-05-08,"2076 Pine Road, Franklin, TN 37064",53345.61,suspended,2026-03-07
51,Susan,White,susan.white51@mail.example.com,483-941-9595,1983-05-04,"3280 Elm Street, Georgetown, OH 45121",104506.79,inactive,2015-12-18
52,William,Rodriguez,william.rodriguez52@example.com,255-766-5786,1989-03-21,"8142 Oak Avenue, Springfield, IL 62701",149701.61,inactive,2022-08-11
53,Barbara,Johnson,barbara.johnson53@example.net,689-316-2070,1970-08-03,"9553 Maple Street, Fairview, TX 75001",59629.89,suspended,2019-02-08
54,Linda,Moore,linda.moore54@mail.example.com,820-810-4697,1994-09-13,"7481 Sunset Boulevard, Clinton, NY 13323",210355.33,inactive,2019-10-20
55,Patricia,Martin,patricia.martin55@example.com,981-412-4457,1961-11-03,"2673 Pine Road, Fairview, TX 75001",145022.36,active,2015-07-15
56,Kevin,Thomas,kevin.thomas56@example.net,233-437-5720,1990-05-23,"7538 Oak Avenue, Georgetown, OH 45121",223869.14,suspended,2024-11-26
57,Richard,Wilson,richard.wilson57@example.com,757-430-3441,2003-05-27,"2430 Oak Avenue, Springfield, IL 62701",63175.63,inactive,2024-12-27
58,Joshua,Robinson,joshua.robinson58@example.net,649-327-8679,1989-05-23,"6694 Elm Street, Salem, OR 97301",142476.09,inactive,2016-10-02
59,Margaret,White,margaret.white59@example.net,818-456-1423,1950-04-22,"9524 Highland Avenue, Springfield, IL 62701",239909.35,suspended,2019-10-02
60,Barbara,Thomas,barbara.thomas60@mail.example.com,484-385-8141,1985-08-03,"7800 Birch Court, Greenville, SC 29601",98661.38,suspended,2016-03-11
61,Mark,Thompson,mark.thompson61@mail.example.com,495-878-7561,1997-09-02,"7551 Oak Avenue, Franklin, TN 37064",81508.56,active,2021-09-27
62,James,Perez,james.perez62@mail.example.com,623-255-4073,1978-06-20,"8267 Sunset Boulevard, Springfield, IL 62701",71154.35,suspended,2017-05-15
63,Ashley,Brown,ashley.brown63@example.com,845-823-4920,1990-03-10,"9124 Maple Street, Salem, OR 97301",114494.03,active,2016-08-04
64,Elizabeth,Thomas,elizabeth.thomas64@example.net,721-922-5479,1971-08-16,"4093 Sunset Boulevard, Salem, OR 97301",58664.1,active,2024-09-24
65,William,Ramirez,william.ramirez65@example.com,482-624-6568,2004-09-09,"142 Elm Street, Clinton, NY 13323",205544.9,suspended,2025-08-28
66,Elizabeth,Anderson,elizabeth.anderson66@mail.example.com,553-540-9903,1969-08-11,"3190 Pine Road, Arlington, VA 22201",109189.82,inactive,2015-06-24
67,Steven,Thompson,steven.thompson67@mail.example.com,595-879-3492,1976-01-05,"8329 Highland Avenue, Franklin, TN 37064",212376.47,inactive,2016-09-15
68,James,White,james.white68@example.org,619-870-3529,1949-08-26,"4442 Birch Court, Arlington, VA 22201",174853.37,suspended,2016-06-28
69,Kenneth,Gonzalez,kenneth.gonzalez69@example.net,841-935-8994,2000-09-02,"1221 Pine Road, Clinton, NY 13323",239454.3,suspended,2016-07-04
70,Michael,Anderson,michael.anderson70@example.org,910-506-1474,1947-06-26,"1019 Elm Street, Franklin, TN 37064",107466.31,active,2018-09-14
71,Joshua,Perez,joshua.perez71@example.org,374-379-2293,1984-07-20,"4045 Sunset Boulevard, Arlington, VA 22201",58340.96,inactive,2025-05-15
72,Thomas,Perez,thomas.perez72@example.com,676-494-9955,1955-02-15,"5761 Highland Avenue, Clinton, NY 13323",163455.0,inactive,2026-05-15
73,Karen,Miller,karen.miller73@mail.example.com,694-309-4886,1969-10-12,"9517 Elm Street, Clinton, NY 13323",32651.19,suspended,2021-05-01
74,Joshua,Ramirez,joshua.ramirez74@example.com,820-963-9138,1998-05-25,"3870 Highland Avenue, Franklin, TN 37064",74428.96,active,2024-05-22
75,William,Lee,william.lee75@example.com,842-861-1645,1964-08-02,"9595 Birch Court, Fairview, TX 75001",47108.28,inactive,2020-12-14
76,Barbara,Miller,barbara.miller76@example.org,752-574-9697,1977-05-27,"2795 Elm Street, Madison, WI 53703",233085.42,inactive,2026-06-26
77,Linda,Anderson,linda.anderson77@example.com,344-972-4696,2000-11-24,"6611 River Drive, Franklin, TN 37064",47144.21,inactive,2015-05-18
78,Linda,Anderson,linda.anderson78@example.net,888-966-5295,1982-07-27,"6186 Oak Avenue, Georgetown, OH 45121",127953.1,suspended,2023-06-20
79,Joseph,Lee,joseph.lee79@example.com,850-675-5951,1986-07-04,"2390 Maple Street, Springfield, IL 62701",92525.29,inactive,2016-02-08
80,Kenneth,Jones,kenneth.jones80@mail.example.com,664-579-9850,1971-10-24,"2631 Willow Way, Riverside, CA 92501",204742.93,suspended,2021-05-02
81,Lisa,Miller,lisa.miller81@mail.example.com,655-441-6942,1951-11-12,"9020 Birch Court, Springfield, IL 62701",112405.6,active,2016-08-03
82,Susan,Lee,susan.lee82@example.com,251-541-4990,1953-10-07,"1224 River Drive, Georgetown, OH 45121",152313.21,active,2020-03-26
83,Kevin,Smith,kevin.smith83@example.net,348-333-9850,1961-03-04,"522 Cedar Lane, Springfield, IL 62701",103947.36,active,2024-06-01
84,Barbara,Rodriguez,barbara.rodriguez84@example.com,329-959-7897,1978-02-24,"1141 Sunset Boulevard, Madison, WI 53703",192939.61,suspended,2024-02-15
85,Andrew,Davis,andrew.davis85@example.com,944-874-9543,1964-08-21,"610 Maple Street, Madison, WI 53703",207627.29,inactive,2025-02-16
86,Paul,Williams,paul.williams86@example.com,529-822-3430,1949-03-09,"9690 River Drive, Franklin, TN 37064",108751.73,suspended,2023-05-15
87,Andrew,Martin,andrew.martin87@mail.example.com,301-918-2874,1999-11-21,"9133 Pine Road, Greenville, SC 29601",123729.64,active,2021-06-27
88,Sandra,Gonzalez,sandra.gonzalez88@mail.example.com,947-297-6120,1972-06-22,"4276 Birch Court, Fairview, TX 75001",173606.06,inactive,2016-02-27
89,Jennifer,Williams,jennifer.williams89@mail.example.com,298-962-7105,1996-03-18,"1082 Highland Avenue, Salem, OR 97301",147076.88,suspended,2016-07-12
90,Margaret,Ramirez,margaret.ramirez90@example.com,494-814-6119,1967-02-19,"8413 Pine Road, Fairview, TX 75001",167228.1,active,2016-06-28
91,Emily,Lopez,emily.lopez91@example.com,980-485-4705,1996-07-28,"9290 Highland Avenue, Arlington, VA 22201",171095.06,suspended,2015-10-22
92,Sarah,Smith,sarah.smith92@example.org,479-919-6062,2003-06-12,"200 Cedar Lane, Fairview, TX 75001",148060.07,inactive,2016-03-24
93,Mary,Williams,mary.williams93@example.org,585-629-8432,1966-03-12,"5205 Birch Court, Arlington, VA 22201",154399.44,active,2017-03-25
94,Michelle,Johnson,michelle.johnson94@example.com,478-653-7947,1976-10-15,"6885 Elm Street, Georgetown, OH 45121",188047.95,active,2020-07-04
95,Charles,Perez,charles.perez95@mail.example.com,739-883-6053,1947-04-13,"9919 Maple Street, Springfield, IL 62701",71337.7,active,2017-05-10
96,Daniel,Brown,daniel.brown96@example.com,709-964-8055,1956-03-13,"8825 Pine Road, Salem, OR 97301",146449.4,suspended,2020-02-13
97,Robert,Wilson,robert.wilson97@example.com,670-279-6129,1981-07-19,"6726 Willow Way, Clinton, NY 13323",52416.76,active,2020-03-26
98,Michelle,Anderson,michelle.anderson98@example.net,290-647-2734,1960-07-19,"6660 River Drive, Riverside, CA 92501",111902.54,inactive,2026-06-08
99,Nancy,Harris,nancy.harris99@example.org,278-722-2868,1978-09-07,"5824 Birch Court, Fairview, TX 75001",78089.0,active,2019-04-06
100,Kevin,Jones,kevin.jones100@example.com,381-843-9095,1974-10-25,"9594 Sunset Boulevard, Arlington, VA 22201",164314.27,suspended,2020-11-11
101,Elizabeth,Anderson,elizabeth.anderson101@example.com,680-652-5961,1995-05-19,"1020 Birch Court, Salem, OR 97301",43728.42,inactive,2022-01-02
102,Lisa,Clark,lisa.clark102@example.net,278-860-2479,1984-10-17,"6399 Sunset Boulevard, Arlington, VA 22201",145515.07,suspended,2015-08-26
103,Joshua,Lee,joshua.lee103@example.org,529-819-8792,1977-03-02,"7481 Oak Avenue, Franklin, TN 37064",236265.74,active,2023-11-06
104,Robert,Davis,robert.davis104@mail.example.com,649-736-9564,1984-03-12,"6208 Elm Street, Greenville, SC 29601",114659.11,inactive,2025-10-02
105,Nancy,Williams,nancy.williams105@example.net,296-771-7333,1963-05-24,"9974 Cedar Lane, Franklin, TN 37064",45278.42,suspended,2017-06-10
106,Betty,Jones,betty.jones106@example.com,517-772-7171,1986-06-27,"2193 River Drive, Riverside, CA 92501",164957.26,inactive,2023-06-01
107,Lisa,Martinez,lisa.martinez107@example.org,419-549-8967,1957-04-05,"2638 Oak Avenue, Clinton, NY 13323",207018.82,active,2023-09-27
108,Kimberly,Johnson,kimberly.johnson108@example.net,984-832-3147,1983-07-05,"2758 Cedar Lane, Arlington, VA 22201",199517.27,active,2026-08-02
109,Mark,Lopez,mark.lopez109@example.org,654-825-5668,1993-12-26,"7455 Pine Road, Salem, OR 97301",78703.72,inactive,2018-06-22
110,Joshua,Anderson,joshua.anderson110@mail.example.com,987-488-7256,1977-09-14,"2755 Pine Road, Arlington, VA 22201",57340.49,inactive,2015-11-16
111,Lisa,Moore,lisa.moore111@example.com,928-728-3042,1963-02-25,"2726 Elm Street, Madison, WI 53703",219924.92,active,2021-02-08
112,Paul,Lewis,paul.lewis112@example.net,227-624-1872,1970-09-12,"3962 Willow Way, Riverside, CA 92501",107481.49,active,2020-02-27
113,Nancy,Sanchez,nancy.sanchez113@example.org,340-239-5700,2003-08-23,"2373 Sunset Boulevard, Madison, WI 53703",158453.83,active,2015-05-07
114,Elizabeth,Moore,elizabeth.moore114@mail.example.com,313-495-4893,1964-02-02,"4006 Willow Way, Arlington, VA 22201",124908.09,active,2022-10-18
115,Mary,Lee,mary.lee115@example.org,935-347-5772,1972-01-20,"5880 Pine Road, Arlington, VA 22201",116312.33,suspended,2025-02-17
116,Lisa,Williams,lisa.williams116@example.com,599-681-1713,1985-07-12,"4255 Maple Street, Franklin, TN 37064",195166.24,inactive,2018-12-22
117,Michael,Harris,michael.harris117@example.net,336-245-6772,1979-06-27,"2968 Sunset Boulevard, Madison, WI 53703",161928.0,active,2016-12-25
118,Sandra,Johnson,sandra.johnson118@example.net,406-244-4268,2001-01-11,"5180 River Drive, Greenville, SC 29601",237694.01,suspended,2022-05-02
119,Richard,Martinez,richard.martinez119@example.net,248-871-6438,1962-02-26,"6129 Willow Way, Greenville, SC 29601",185581.23,inactive,2020-03-16
120,Ashley,Lopez,ashley.lopez120@example.net,284-944-7955,1950-07-20,"3056 River Drive, Clinton, NY 13323",96096.82,active,2020-11-10
121,Karen,Anderson,karen.anderson121@mail.example.com,370-906-8272,1967-08-02,"5876 Highland Avenue, Greenville, SC 29601",86205.74,active,2016-11-21
122,Betty,Lopez,betty.lopez122@example.org,231-346-8179,1947-03-03,"3966 Birch Court, Franklin, TN 37064",109165.13,suspended,2015-10-05
123,Paul,Lopez,paul.lopez123@example.net,654-981-2259,1981-03-17,"6112 Willow Way, Franklin, TN 37064",165706.88,active,2016-01-24
124,Barbara,Thomas,barbara.thomas124@mail.example.com,775-320-5288,1994-05-23,"7411 Pine Road, Arlington, VA 22201",88542.3,inactive,2018-02-05
125,John,Anderson,john.anderson125@example.org,930-655-2438,1996-11-28,"5336 Birch Court, Riverside, CA 92501",144599.4,inactive,2019-03-23
126,Barbara,Sanchez,barbara.sanchez126@example.net,720-429-2988,1957-03-08,"8194 Maple Street, Franklin, TN 37064",145452.54,inactive,2022-09-05
127,Michelle,Lewis,michelle.lewis127@example.com,267-516-7523,1990-12-16,"8712 Willow Way, Greenville, SC 29601",202547.95,active,2017-06-21
128,John,Anderson,john.anderson128@mail.example.com,896-729-6644,1953-09-21,"9730 Cedar Lane, Fairview, TX 75001",119715.08,active,2016-09-05
129,Karen,Garcia,karen.garcia129@example.org,530-926-4694,1967-09-10,"1392 Elm Street, Georgetown, OH 45121",162632.1,suspended,2019-03-21
130,Karen,Martin,karen.martin130@example.com,714-856-3762,1982-10-05,"2904 Highland Avenue, Arlington, VA 22201",99575.35,suspended,2015-01-03
131,Robert,Lee,robert.lee131@example.net,866-415-7825,1984-11-01,"8259 River Drive, Clinton, NY 13323",164084.35,inactive,2022-04-26
132,Betty,Martinez,betty.martinez132@mail.example.com,274-905-1981,1955-08-14,"8033 Sunset Boulevard, Georgetown, OH 45121",100120.82,active,2020-12-11
133,Matthew,O'Br13n,matthew.gonzalez133@example.org,978-579-9437,1980-02-11,"4060 Sunset Boulevard, Riverside, CA 92501",84703.99,active,2017-02-02
134,Charles,Gonzalez,charles.gonzalez134@mail.example.com,454-363-6364,2004-10-24,1 A St,133632.29,suspended,2022-08-10
135,Ashley,Smith,ashley.smith135@example.com,602-717-8491,1960-04-19,"5881 Maple Street, Springfield, IL 62701",87647.54,suspended,13/40/2026
136,Charles,Moore,charles.moore136@example.com,310-641-3194,2001-05-24,"6092 Willow Way, Franklin, TN 37064",,active,2024-09-07
137,Lisa,Moore,lisa.moore137@example.net,,1973-09-09,"2046 Cedar Lane, Riverside, CA 92501",111507.59,inactive,2023-06-25
138,Elizabeth,Miller,elizabeth.miller138@mail.example.com,712-241-1742,1947-03-23,,124881.57,suspended,2023-03-11
139,Michelle,Hernandez,michelle.hernandez139@example.org,12345,1982-06-17,"8451 River Drive, Madison, WI 53703",178252.84,inactive,2022-01-12
140,Nancy,Perez,nancy.perez140@example.com,626-797-6040,1995-12-28,"536 Highland Avenue, Madison, WI 53703",48585388.93,suspended,2024-10-08
141,Patricia,Jackson,patricia.jackson141@mail.example.com,,1954-11-08,"617 Highland Avenue, Riverside, CA 92501",68446.28,inactive,2020-07-05
142,Mark,Thompson,mark.thompson142@example.org,620-713-8726,1838-02-28,"1120 Cedar Lane, Salem, OR 97301",71956.44,inactive,2025-08-17
143,Anthony,Hernandez,anthony.hernandez143@example.org,670-745-6608,1979-06-22,"4431 Highland Avenue, Madison, WI 53703",-15292.13,active,2019-09-10
144,JOSEPH,martinez,joseph.martinez144@example.net,921-412-9011,1965-08-12,"9283 Elm Street, Clinton, NY 13323",53837.31,SUSPENDED,2023-07-13
145,Matthew,Harris,matthew.harris145@example.org,497-243-5712,1990-02-12,"7347 Elm Street, Madison, WI 53703",73365.2,closed,2019-09-23
146,Sarah,Jones,sarah.jones146@example.com,830-958-4920,1960-01-22,"8800 Pine Road, Georgetown, OH 45121",-27260.3,inactive,2020-12-16
147,MaximilianusMaximilianusMaximilianusMaximilianusMaximilianus,Perez,michael.perez147@example.org,205-763-3587,1971-11-16,"7922 Pine Road, Clinton, NY 13323",96087.55,suspended,2015-02-21
148,Joshua,Davis,joshua.davis148@example.com,379-627-3880,2024-02-30,"6604 Sunset Boulevard, Fairview, TX 75001",226561.05,inactive,2015-01-10
149,Joshua,Martin,missing.domain@,543-491-8444,1986-09-17,"8192 Cedar Lane, Salem, OR 97301",127220.4,active,2016-06-06
150,Sandra,Lee,sandra.lee150@example.net,935-390-1230,"March 25, 1972","4933 Highland Avenue, Georgetown, OH 45121",65204.92,suspended,2021-07-17
151,Daniel,Williams,daniel.williams151@mail.example.com,885-297-4027,1859-02-26,"4164 Maple Street, Clinton, NY 13323",109317.77,inactive,2019-06-10
152,Donna,White,donna.white152@example.com,467-869-6890,1990-13-05,"2036 Sunset Boulevard, Clinton, NY 13323",61859.97,suspended,2023-12-25
153,Karen,Thompson,karen.thompson153@example.com,854-502-7021,1839-02-06,"2288 Sunset Boulevard, Fairview, TX 75001",124455.48,suspended,2020-07-23
154,Emily,Robinson,emily.robinson154@mail.example.com,975-750-4578,1868-01-07,"9861 Oak Avenue, Salem, OR 97301",122710.57,suspended,2020-02-19
155,Linda,Johnson,@nodomain.com,786-749-3455,1955-06-28,"8625 Sunset Boulevard, Riverside, CA 92501",172222.59,suspended,2024-08-03
156,,Anderson,andrew.anderson156@example.com,664-335-9409,1971-08-19,"1045 River Drive, Madison, WI 53703",170626.75,inactive,2026-01-13
157,Thomas,Clark,thomas.clark157@example.com,963-423-2196,"November 10, 1970","1144 River Drive, Springfield, IL 62701",226131.55,active,2022-01-10
158,  Mark  , Garcia,mark.garcia158@example.org,984-856-7887,1968-07-15,"6284 Willow Way, Riverside, CA 92501",172738.84, suspended ,2023-03-21
159,MATTHEW,brown,matthew.brown159@example.org,750-602-9664,1953-12-08,"156 Maple Street, Clinton, NY 13323",126156.83,SUSPENDED,2023-07-18
160,MaximilianusMaximilianusMaximilianusMaximilianusMaximilianus,Clark,anthony.clark160@example.org,453-671-6671,1954-05-07,"1948 Maple Street, Greenville, SC 29601",158363.72,active,2018-04-03
161,MICHAEL,martin,michael.martin161@example.com,657-812-1797,1960-12-02,"6690 Sunset Boulevard, Georgetown, OH 45121",142429.08,ACTIVE,2017-09-10
162,MaximilianusMaximilianusMaximilianusMaximilianusMaximilianus,Clark,joseph.clark162@example.net,791-812-6253,1960-05-05,"8640 Pine Road, Greenville, SC 29601",91706.2,active,2023-10-24
163,Barbara,Lee,barbara.lee163@mail.example.com,555-CALL-NOW,1967-11-22,"6344 River Drive, Franklin, TN 37064",175617.38,inactive,2017-05-13
164,MaximilianusMaximilianusMaximilianusMaximilianusMaximilianus,Harris,barbara.harris164@mail.example.com,446-430-5927,1999-12-05,"7686 Maple Street, Salem, OR 97301",115487.63,inactive,2023-09-05
61,Anthony,Davis,anthony.davis165@example.net,408-538-2295,2004-08-28,"6179 Oak Avenue, Salem, OR 97301",181611.96,active,2015-05-13
166,Kevin,Martin,kevin.martin166@example.com,274-392-4555,1975-04-28,"5555 Elm Street, Springfield, IL 62701",44036548.38,active,2026-02-24
167,Steven,Robinson,steven.robinson167@example.org,912-818-4350,1970-04-18,"5369 Elm Street, Greenville, SC 29601",126845.1,unknown,2020-05-09
168,Lisa,Taylor,lisa.taylor168@mail.example.com,677-300-8692,1993-06-07,1 A St,37691.67,active,2026-03-01
57,Thomas,Moore,thomas.moore169@mail.example.com,502-356-4214,1966-04-13,"9435 Pine Road, Madison, WI 53703",144736.22,suspended,2020-05-25
170,Ashley,White,ashley.white170@mail.example.com,671-372-6770,1955-03-24,,222382.67,suspended,2025-01-17
171,Robert,Clark,robert.clark171@example.com,884-249-1104,1971-03-27,,29937.99,suspended,2022-06-02
172,Michelle,Lee,michelle.lee172@mail.example.com,875-699-1257,1945-09-18,"6839 Maple Street, Springfield, IL 62701",140236.54,inactive,2026-02-30
173,,Clark,andrew.clark173@mail.example.com,383-309-2578,1978-03-08,"3244 Highland Avenue, Salem, OR 97301",81512.66,inactive,2019-07-03
174,Lisa,Gonzalez,lisa.gonzalez174@mail.example.com,778-449-4700,1964-11-27,1 A St,113919.0,inactive,2023-08-02
175,James,Thompson,james.thompson175@example.org,284-711-8109,1986-06-19,"1662 River Drive, Springfield, IL 62701",76710.5,unknown,2024-08-09
176,Robert,Robinson,robert.robinson176@example.com,900-487-9897,2027-12-26,"3038 Birch Court, Springfield, IL 62701",231831.47,suspended,2017-12-27
177,Betty,Robinson,betty.robinson177@example.com,506-366-4939,1981-07-22,,188189.16,active,2026-12-03
178,Andrew,Smith$,andrew.white178@example.net,254-300-8161,1959-02-11,"9858 Willow Way, Franklin, TN 37064",34280.64,inactive,2022-08-08
179,Matthew,Moore,matthew.moore179@mail.example.com,,1950-10-10,"4137 Oak Avenue, Riverside, CA 92501",84810.07,inactive,2026-11-05
180,Anthony,Hernandez,anthony.hernandez180@example.net,309-293-1085,21-04-1964,"4519 Oak Avenue, Fairview, TX 75001",46507.01,inactive,2022-09-18
181,Andrew,Wilson,,226-291-6798,1980-02-20,"9898 Birch Court, Greenville, SC 29601",30616.21,inactive,2021-02-24
182,Emily,Lewis,emily.lewis182@example.org,785-733-3778,2024-02-30,"2374 Elm Street, Clinton, NY 13323",84902.24,active,2016-03-14
183,Sarah,Wilson,sarah.wilson183@example.net,695-278-6916,12/18/1995,"8223 Highland Avenue, Arlington, VA 22201",69456.22,active,2017-05-01
184,Betty,Hernandez,betty.hernandez184@mail.example.com,537-650-6484,1972-11-20,"2330 Elm Street, Franklin, TN 37064",,suspended,2018-08-11
185,,Gonzalez,barbara.gonzalez185@example.net,498-952-9044,1981-04-11,"6261 Elm Street, Greenville, SC 29601",105383.29,suspended,2018-10-18
